"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1114.10364219047,0.404544874005643,0.205670730002327,1.96695404349012,0.0491885091764225,0.178590989369467
"ENSG00000000005",9.95176806600306,0.516806404898155,0.43275956033078,1.19421141038024,0.232395280787814,0.467917010271456
"ENSG00000000419",598.552442761394,0.0361188010271006,0.151717647244255,0.238065918389519,0.81182996804478,0.910786337883232
"ENSG00000000457",1555.26079119085,-0.0597267616594527,0.112866071129627,-0.529182606089446,0.596678781671805,0.786176439846306
"ENSG00000000460",1782.96736772044,-0.24618759156696,0.180704585363919,-1.36237600762131,0.173079251488927,0.394353129604993
"ENSG00000000938",383.024276701873,1.38318488354288,0.297775677040558,4.64505663219259,3.39983178489686e-06,0.000160954385780471
"ENSG00000000971",1283.5500397713,1.18160651239873,0.306055754392237,3.86075574610629,0.000113036857755532,0.00235163045899746
"ENSG00000001036",1001.75522797163,0.479812271917608,0.160699866897464,2.98576645507589,0.00282868583886491,0.025485737846007
"ENSG00000001084",3245.94476822667,0.531270410136365,0.245540291239225,2.16367915609727,0.0304889818006429,0.131850480520458
"ENSG00000001167",2319.96662621668,-0.172747757356735,0.169313379952343,-1.02028414650607,0.307593719842878,0.550199646253607
"ENSG00000001460",601.537214036971,-0.0901399601698275,0.119291522225724,-0.755627545763595,0.449872535775544,0.679630101985016
"ENSG00000001461",2679.60356901544,0.115824213050606,0.111109539140106,1.04243266552077,0.297211128431182,0.53986084723415
"ENSG00000001497",2123.01750480688,-0.176023137825111,0.0988010683481499,-1.78159144195537,0.0748158810416476,0.23455043587755
"ENSG00000001561",2259.72713789839,0.303206576483192,0.240684065819775,1.25977004522698,0.207752328680559,0.439599788104024
"ENSG00000001617",1138.95186748519,-0.0277401647576374,0.171232294543686,-0.162003112973295,0.871303402456506,0.940840290604679
"ENSG00000001626",156.161190589417,1.70270439114017,0.390798237080631,4.3569909727839,1.31862704199549e-05,0.000451536395044971
"ENSG00000001629",4055.38003049983,0.00792715122912238,0.0763685345639457,0.103801274626852,0.917327054929519,0.961839495675993
"ENSG00000001630",3354.32091271939,-0.194967187197504,0.180368132757311,-1.0809403203161,0.279723661570982,0.521290971714396
"ENSG00000001631",2784.59041082567,-0.104131505225146,0.11342791174067,-0.918041279497597,0.358597255049663,0.599595039932513
"ENSG00000002016",1179.19184071387,-0.205991390273508,0.0787554201960984,-2.61558366091625,0.00890750966751284,0.0572378508581901
"ENSG00000002079",127.072292198431,-0.348287740643377,0.214731894949517,-1.62196557118475,0.10481072012962,0.289128308336382
"ENSG00000002330",824.076965046496,-0.410801955911922,0.147192179603403,-2.79092243228406,0.0052558066192694,0.0397154521819071
"ENSG00000002549",1688.00077532152,0.670565308878293,0.181642948968313,3.69166715629171,0.000222788900694699,0.00393668864156148
"ENSG00000002586",3009.07271089938,0.394582176995978,0.251557396454428,1.5685572460099,0.116751141174085,0.309409599666229
"ENSG00000002587",944.070671420622,0.251273116554834,0.241501982429869,1.04045985058447,0.298126307921548,0.540804460125447
"ENSG00000002726",1017.21260193658,1.35168572726833,0.45732568223535,2.95563048342587,0.00312030678575837,0.027390908631755
"ENSG00000002745",79.3755764313968,-0.711401446091118,0.362908083869967,-1.96027996539757,0.0499630763888463,0.180506758566071
"ENSG00000002746",160.403575236494,-0.0676753300189084,0.33465250418431,-0.202225679392007,0.839740298587827,0.925634205978972
"ENSG00000002822",1508.22612742445,0.0239508576626179,0.172746097863823,0.138647749262033,0.889728509218899,0.948970530562682
"ENSG00000002834",6207.12904341515,0.468083687206257,0.129321263334702,3.61954155980357,0.000295125410619673,0.00484452599625558
"ENSG00000002919",1130.91428618155,-0.00334555453638176,0.108386756704849,-0.0308668202471649,0.975375750914809,0.989349705721242
"ENSG00000002933",1946.4006037379,0.204469791608292,0.253584918064464,0.806316847109629,0.420060178908106,0.654674824770868
"ENSG00000003056",2306.29377617758,0.423027170511379,0.149229917445036,2.83473433312853,0.00458638080346644,0.0360164074526143
"ENSG00000003096",287.301066026348,-0.907349140719487,0.320179323713224,-2.83387799748174,0.00459868850925309,0.0360948247911039
"ENSG00000003137",374.964091180803,-0.300956132530001,0.297585097931595,-1.01132796844276,0.311859484115091,0.554993135690526
"ENSG00000003147",3189.78133365453,-0.554269548757855,0.225865209868669,-2.45398372365597,0.0141283376151028,0.0783643339893423
"ENSG00000003249",1129.50647772593,-0.899085421437711,0.163003392291087,-5.51574668968945,3.47302198197895e-08,5.27412782625644e-06
"ENSG00000003393",2820.79500488857,0.0717757739124158,0.124613791634791,0.575985795559218,0.564624782709507,0.763635339386542
"ENSG00000003400",841.023397895023,1.60033450663409,0.255307653943958,6.26825902753927,3.65107081498476e-10,2.22855841147812e-07
"ENSG00000003402",10221.3441221543,0.524952196364873,0.136103414354098,3.85700975141678,0.000114782584951779,0.00238164393264631
"ENSG00000003436",1499.93634558102,1.75300197773917,0.28040112948924,6.25176503722479,4.05839654266384e-10,2.282247487053e-07
"ENSG00000003509",671.601790832898,-0.10359111852889,0.130175124460889,-0.795782750029283,0.426158319706931,0.659395884031668
"ENSG00000003756",6698.28713227078,0.179819219524349,0.104830752514076,1.715328901223,0.0862849426363777,0.256804314691776
"ENSG00000003987",2172.49785420974,-0.435936997035439,0.233743704425521,-1.86502134081795,0.062178412939364,0.208384827060432
"ENSG00000003989",1080.61640527299,0.223112417608194,0.319810463284692,0.697639518471858,0.485402660917657,0.70769596242969
"ENSG00000004059",2782.30468292533,-0.330228509398796,0.107531340051434,-3.07099780622879,0.00213344718410908,0.0208211463000524
"ENSG00000004139",5412.49952384711,-0.515857432398209,0.147767598613872,-3.49100504601273,0.000481207164809856,0.00698695021976805
"ENSG00000004142",2589.43558825385,-0.148789953833116,0.0803291762554123,-1.85225295177966,0.0639895082567568,0.212181797528475
"ENSG00000004399",9325.62301941826,0.223529014879406,0.144602934191809,1.54581244238727,0.122149871203451,0.317967969632369
"ENSG00000004455",6473.33360650014,0.0615756959691392,0.0806767778697382,0.763239405378337,0.445320632124743,0.675578112583432
"ENSG00000004468",787.049194037958,1.54262411222884,0.315466817586205,4.88997265713152,1.00849985364956e-06,6.48306603261229e-05
"ENSG00000004478",4236.97510029936,-0.149486335309244,0.14168842999991,-1.05503558271723,0.291409051255157,0.533949844148162
"ENSG00000004487",6083.40213476335,-0.32697451687673,0.119535291925506,-2.73538058601556,0.00623081891112535,0.0448513378683822
"ENSG00000004534",4794.60384816595,0.0275200732116269,0.120407902696828,0.228557034839474,0.819213221836393,0.914552440813517
"ENSG00000004660",725.361739478315,-0.309993433780014,0.164611688850059,-1.88317996094664,0.0596759837806688,0.202845431460351
"ENSG00000004700",2463.88593168267,-0.0279679125346128,0.150981556998362,-0.185240588921177,0.853040334594504,0.931229404484894
