"","geneid","wilcox","wilcox_BH","FC","log2FC"
"15425","ENSG00000198892",0.148836546876709,0.96428928564165,1.43904674610449,0.525113457455382
"15426","ENSG00000198894",0.0507985207388399,0.947097530301638,1.67541199736322,0.744515909579097
"15427","ENSG00000198898",0.932324373348333,1,0.923707957342084,-0.114491298539982
"15428","ENSG00000198900",0.932324373348333,1,1.14414517888934,0.194270125171194
"15429","ENSG00000198901",0.444696231849709,0.990336329831089,1.12895561447609,0.174988766860246
"15430","ENSG00000198908",0.269606104568209,0.975322513573003,1.55944566010212,0.641033281941265
"15431","ENSG00000198909",0.350237584818994,0.975322513573003,1.20702875399361,0.271460044568389
"15432","ENSG00000198910",0.350237584818994,0.975322513573003,2.40389781886071,1.26537557352166
"15433","ENSG00000198911",0.444696231849709,0.990336329831089,1.20548707532207,0.269616183110735
"15434","ENSG00000198912",0.106637057802563,0.947097530301638,1.48279225303051,0.568316482811077
"15435","ENSG00000198914",0.79890666964327,1,0.454330627761225,-1.13818552990691
"15436","ENSG00000198915",0.106637057802563,0.947097530301638,2.04072398190045,1.02908106386395
"15437","ENSG00000198917",0.106637057802563,0.947097530301638,1.69822053675613,0.764023824394105
"15438","ENSG00000198918",0.79890666964327,1,0.760436254230914,-0.395100779954653
"15439","ENSG00000198919",0.79890666964327,1,1.0397774268742,0.0562747403759778
"15440","ENSG00000198920",0.671125458389813,1,1.09281938031185,0.128054974055314
"15441","ENSG00000198924",0.671125458389813,1,0.921199647162599,-0.118414236336788
"15442","ENSG00000198925",0.79890666964327,1,0.968550134785137,-0.0461013663129559
"15443","ENSG00000198929",0.932324373348333,1,1.05897750511247,0.0826719438086596
"15444","ENSG00000198931",0.0137894261313023,0.947097530301638,2.01149599152927,1.00826886299133
"15445","ENSG00000198932",0.79890666964327,1,0.96897001303781,-0.0454760760076429
"15446","ENSG00000198933",0.269606104568209,0.975322513573003,2.84274640088594,1.50728540309456
"15447","ENSG00000198934",0.79890666964327,1,1.32468735525706,0.405651903643247
"15448","ENSG00000198937",0.0337522229559557,0.947097530301638,1.84329089128306,0.882283761850735
"15449","ENSG00000198939",0.55221422203415,0.990336329831089,0.838775510204082,-0.253643355320888
