"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Pck2","Pck2",-0.403611833277169,0.137656483891549,-1.93985983000741,0.0653743572124676,0.0904826338934203,-5.74145028797384,"No change"
"Pip5k1c","Pip5k1c",-0.188000592550075,1.72792485530615,-1.93733539006754,0.0656991368496983,0.0908917453695042,-5.74580456535421,"No change"
"Mboat7","Mboat7",-0.160053231541324,1.88707552104515,-1.92702301315836,0.067040679136103,0.0926431975779804,-5.76355017899181,"No change"
"Abca6","Abca6",0.424418056640347,4.54130253944504,1.91395783616777,0.0687749138595221,0.0948538004989901,-5.78593623959584,"No change"
"Socs7","Socs7",0.235842739545564,0.299780831307717,1.90492236011288,0.0699971969655011,0.0964138905895228,-5.80135425097769,"No change"
"Dgkz","Dgkz",-0.203677769195213,1.93286857448012,-1.89607346803124,0.0712126722515931,0.0979374089963715,-5.81640328613462,"No change"
"Pde3b","Pde3b",-0.214831611698103,3.11017578929679,-1.88835601350096,0.072287795165808,0.0991582378237878,-5.82948707180993,"No change"
"Pam","Pam",-0.324689441291897,0.925254088383757,-1.88063069509756,0.0733782183436016,0.10046454338327,-5.84254572856216,"No change"
"Fzd4","Fzd4",0.35992593162437,1.0047288000015,1.86763224306903,0.075245416077126,0.102899940984804,-5.86443068019031,"No change"
"Apom","Apom",-0.296739077366431,7.54107311453542,-1.86700390529096,0.0753367172187351,0.102994581865659,-5.86548580284295,"No change"
"Abca7","Abca7",0.184565047845836,-0.397223529424316,1.8530312544694,0.077392147359285,0.105463903888856,-5.8888824478173,"No change"
"Id2","Id2",0.634746179858817,6.24863940535866,1.79959868528943,0.0857088775975353,0.115592772463234,-5.97716365741054,"No change"
"Dgkq","Dgkq",0.30915628093998,1.35057489572595,1.76394954996318,0.0916779118334841,0.122831727389193,-6.03499659872804,"No change"
"Cln3","Cln3",-0.174557646113526,0.410712763922339,-1.75347389632768,0.0934985131984146,0.125085334615292,-6.05182619363418,"No change"
"Elovl1","Elovl1",0.223642026393596,4.02187907774231,1.72661815108694,0.0983080438506314,0.130766551128857,-6.09462510187391,"No change"
"Acaa1a","Acaa1a",-0.155168408650838,5.13866603439113,-1.72011041795408,0.0995048163836011,0.132237560845939,-6.10492076416505,"No change"
"Gramd1a","Gramd1a",-0.255353416666988,1.53254915644113,-1.71808130870468,0.0998805024262587,0.132691378579982,-6.10812489642,"No change"
"Pla2g12b","Pla2g12b",-0.101469697991858,5.02385608527569,-1.71271891043029,0.100879167150977,0.133895840628376,-6.11657869128611,"No change"
"Oxsm","Oxsm",0.156083974874298,2.87260792278011,1.70290570596539,0.102728759027692,0.136102450349835,-6.1319968809249,"No change"
"Golm1","Golm1",0.329438077772907,0.0851784483069812,1.69656608603105,0.103938923274358,0.137591823897525,-6.14192141988108,"No change"
"Inpp5e","Inpp5e",-0.257302644552585,0.236961581249778,-1.65611873195979,0.111948124648977,0.146879069190558,-6.2045686430715,"No change"
"Pgp","Pgp",-0.318141954098694,3.30038153989836,-1.65497451733478,0.112182073224679,0.147136257636019,-6.20632384254349,"No change"
