"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000228879",0.0658246747204842,-0.855309347280593,0.0766933434255321,0.781829532975485,"ENSG00000228879","RPL35AP6","100271312",FALSE,FALSE,FALSE
"ENSG00000228884",0.0757565092656563,-2.69244620134755,0.00689157894760939,0.933839187604831,"ENSG00000228884","RPL23AP26","391490",FALSE,FALSE,FALSE
"ENSG00000228887",0.224539986981491,-1.14184511101877,0.811785321786999,0.367592945683618,"ENSG00000228887","EEF1DP1","126037",FALSE,FALSE,FALSE
"ENSG00000228897",0.599198409039591,-2.68302873361038,3.23431599714436,0.0721104096529321,"ENSG00000228897",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228898",1.21855677702628,-2.82172149606024,2.08270172962044,0.14897628822413,"ENSG00000228898","MTCO1P43","107075173",FALSE,FALSE,FALSE
"ENSG00000228901",0.454839069452086,-4.37766804136311,0.19832991770153,0.656072278788389,"ENSG00000228901",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228902",0.991663301817569,-4.16476006310918,0.337831094274561,0.561083838784001,"ENSG00000228902","ST6GALNAC2P1","100422716",FALSE,FALSE,FALSE
"ENSG00000228906",0.0598473944568017,1.70422351846776,0.0944822171342139,0.758554455614436,"ENSG00000228906",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228909",0.960185653690289,-4.23857185867049,0.407513934427829,0.523234038683828,"ENSG00000228909",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228914",0.0916225969937336,-3.52141356195329,0.112020849932492,0.737855053074248,"ENSG00000228914","OR1H1P","26742",FALSE,FALSE,FALSE
"ENSG00000228915",0.321853230676684,2.44669787007039,5.67404560393328,0.0172177039489423,"ENSG00000228915","OR7E128P","81175",TRUE,FALSE,FALSE
"ENSG00000228917",0.510048748843268,-1.97772858819856,0.622694439136311,0.430047774395779,"ENSG00000228917",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228918",0.712097688180057,-0.393107206690378,2.34776949861589,0.125462409649336,"ENSG00000228918",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228922",0.695955090069099,-3.16871317888514,1.16645306934268,0.280131239637112,"ENSG00000228922","LOC650024","650024",FALSE,FALSE,FALSE
"ENSG00000228925",0.0947364768139972,1.24427607194526,0.323343264742235,0.569605358651595,"ENSG00000228925",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228930",0.21001565169735,-4.46813165282193,1.01311394758725,0.314157987603421,"ENSG00000228930","MTCO1P3","100873205",FALSE,FALSE,FALSE
"ENSG00000228933",1.89686119365605,0.246014956420751,6.66267409590749,0.00984530674801297,"ENSG00000228933",NA,NA,TRUE,FALSE,TRUE
"ENSG00000228938",1.04690001123471,-3.41272384379354,3.11279952229681,0.0776793365011179,"ENSG00000228938",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228943",0.763602037337243,-4.43882068060482,2.56514809450724,0.10924232693826,"ENSG00000228943",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228944",0.437224971818622,-3.93962064075125,0.13050356213472,0.717910498813607,"ENSG00000228944",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228945",0.177785547908881,-4.46991625633251,0.981137213794928,0.32191820758769,"ENSG00000228945",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228952",0.172533878739469,-2.88562240851675,0.0668770457255619,0.795939279492571,"ENSG00000228952",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228953",0.306403628948377,-3.87951782988348,0.293494540322271,0.58798980037869,"ENSG00000228953",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228956",0.226717307441598,2.59003320546663,0.733790316115673,0.391657351696137,"ENSG00000228956",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228958",0.803196466679291,-4.43670971657567,2.57213010222657,0.108761192498074,"ENSG00000228958",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228959",1.24352396583505,-3.98028797421846,3.14608679064516,0.0761092828474136,"ENSG00000228959",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228961",0.51787506372175,-2.79737528463714,0.504327232035081,0.477604919715415,"ENSG00000228961","LINC01690","102724502",FALSE,FALSE,FALSE
"ENSG00000228965",0.247687619441297,-4.12627985803324,0.0529448091594205,0.818016092502155,"ENSG00000228965","RPSAP60","100271149",FALSE,FALSE,FALSE
"ENSG00000228971",1.07567750360849,0.238006431621054,1.97305909668974,0.160123530158584,"ENSG00000228971","LINC02607","100996635",FALSE,FALSE,FALSE
"ENSG00000228973",0.263578714395068,-2.88010943108738,0.236425600761279,0.62679973821505,"ENSG00000228973",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228979",0.261383645870548,-1.53589730094137,0.70753035694382,0.400264894657856,"ENSG00000228979",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228981",0.272349900559922,0.967539807931003,1.44417303471739,0.229465244678515,"ENSG00000228981","RPS2P20","645018",FALSE,FALSE,FALSE
"ENSG00000228982",0.0657623184011134,-3.96265281445876,0.00313909476523122,0.955319800138058,"ENSG00000228982",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228983",0.244754902885267,-2.71405014408443,0.112637278711802,0.737161379106927,"ENSG00000228983",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228986",0.259339788267438,-0.983851610193124,0.946947093059322,0.33049760779336,"ENSG00000228986",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228988",0.138545548871353,-0.308951124084029,0.251721264349683,0.615865681672793,"ENSG00000228988",NA,NA,FALSE,FALSE,FALSE
"ENSG00000228992",0.019040274876129,-2.89952745222764,0.000648665574672691,0.979680943563562,"ENSG00000228992","RPL5P32","100271207",FALSE,FALSE,FALSE
"ENSG00000228995",0.0550734352849219,-0.264573791524165,0.0571596116091797,0.811042957582939,"ENSG00000228995","MTND1P9","100873221",FALSE,FALSE,FALSE
"ENSG00000228999",1.95344169401522,-2.99269422942025,3.10418466755878,0.078091323314011,"ENSG00000228999","LINC01830","105374322",FALSE,FALSE,FALSE
"ENSG00000229002",1.33962309852061,-4.34929009796687,0.890359744007156,0.345379839322125,"ENSG00000229002",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229007",0.24133938282341,-0.0868141386172719,0.762078054855479,0.382678982117009,"ENSG00000229007",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229017",0.234178964563601,-1.3364780696002,0.431630192010601,0.511190120162705,"ENSG00000229017",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229018",0.0786300502667627,1.98330964301671,0.233578176908097,0.628883263799862,"ENSG00000229018",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229021",0.19970820178747,-2.08830412566999,0.139139534937101,0.709137933727125,"ENSG00000229021",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229022",0.168275887178365,-1.62011816608225,0.196159588980052,0.657838737863219,"ENSG00000229022","RPL6P3","391181",FALSE,FALSE,FALSE
"ENSG00000229023",0.07509721080043,0.436522540743206,0.0856824850076094,0.769739463208274,"ENSG00000229023",NA,NA,FALSE,FALSE,FALSE
