"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000242430",-3.19741733990749,-4.24808039998387,4.58184282490085,0.0323124465635039,"ENSG00000242430","RN7SL274P","106479322",TRUE,FALSE,TRUE
"ENSG00000242436",-0.388003191385226,-0.871280296566415,0.903440704181619,0.341860804202285,"ENSG00000242436","RN7SL789P","106479508",FALSE,FALSE,FALSE
"ENSG00000242441",-0.284014262484272,-2.58739272109759,0.142088079548046,0.706213939900507,"ENSG00000242441","GTF2A1L","11036",FALSE,FALSE,FALSE
"ENSG00000242444",-0.230397197086981,-3.47966681320334,0.110902370771868,0.739119129111554,"ENSG00000242444",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242445",-0.271052723929328,0.947776145252806,2.04959953516388,0.152246231290213,"ENSG00000242445","RPL7AP11","728992",FALSE,FALSE,FALSE
"ENSG00000242457",-0.111356733146954,2.02256083704885,0.363361220803696,0.546645399692781,"ENSG00000242457","RBBP4P2","100420527",FALSE,FALSE,FALSE
"ENSG00000242473",-0.507701624619963,-3.91126134914857,0.134535506118937,0.713775055214348,"ENSG00000242473","KIR2DP1","554300",FALSE,FALSE,FALSE
"ENSG00000242477",-2.22409450096801,-1.63195916414721,24.3481691564991,8.04031250177717e-07,"ENSG00000242477","RPL10AP9","728979",TRUE,FALSE,TRUE
"ENSG00000242482",-1.0808024534314,-4.43491165413678,4.62255522999041,0.0315541988232355,"ENSG00000242482","RN7SL392P","106480506",TRUE,FALSE,TRUE
"ENSG00000242485",-0.211507265281956,5.09947600278934,1.46926006751987,0.225462474664138,"ENSG00000242485","MRPL20","55052",FALSE,FALSE,FALSE
"ENSG00000242488",-0.0840341610579299,0.904323473875912,0.285751121216791,0.592956266558965,"ENSG00000242488",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242512",-4.22561153877105,1.99980650616978,50.004354814811,1.53405139469557e-12,"ENSG00000242512","LINC01206","100996490",TRUE,FALSE,TRUE
"ENSG00000242520",-0.166012769133786,-2.91509682338161,0.0509818606267913,0.821363486506713,"ENSG00000242520",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242525",-0.251576884014779,-0.724449795691008,0.986447184694185,0.320612266638044,"ENSG00000242525","OR7E100P","81430",FALSE,FALSE,FALSE
"ENSG00000242527",-0.166578864078807,-3.38642702197435,0.0926653597658742,0.760815660706094,"ENSG00000242527",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242534",-0.605153267358567,4.39758455661264,1.88631151682492,0.169618533231247,"ENSG00000242534","IGKV2D-28","28883",FALSE,FALSE,FALSE
"ENSG00000242536",-1.27145497782626,-3.65465005093445,3.75641253065476,0.0526053304612607,"ENSG00000242536",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242545",-2.9135207651956,-3.57155192260279,2.34515000684957,0.125673463539685,"ENSG00000242545",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242551",-0.158951642464577,-0.288392340769034,0.297195004205889,0.585646268307294,"ENSG00000242551","POU5F1P6","100009668",FALSE,FALSE,FALSE
"ENSG00000242552",-0.651293400421019,-4.16585335982513,0.304879776487827,0.580839288513769,"ENSG00000242552",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242562",-0.147607919128602,-3.45734666075223,0.0557990040048679,0.813263413383611,"ENSG00000242562","DCAF13P1","100129009",FALSE,FALSE,FALSE
"ENSG00000242565",-1.38726015168045,-4.41747440451597,6.76522215104346,0.00929513523095716,"ENSG00000242565","RN7SL372P","106479358",TRUE,FALSE,TRUE
"ENSG00000242568",-0.219002070707215,-3.11995613580593,0.0558284057647427,0.813215130502386,"ENSG00000242568",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242573",-0.900001443420751,-4.27761623097786,0.694303334281841,0.404704502793427,"ENSG00000242573",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242575",-0.116916451327233,1.54902323968394,0.1110889437347,0.738907778542666,"ENSG00000242575","TUBAP13","642635",FALSE,FALSE,FALSE
"ENSG00000242578",-0.276247733245849,-1.81037018264615,0.664574219187642,0.414949701480057,"ENSG00000242578",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242583",-0.226375325892437,-1.29171682143334,0.434383669101194,0.50984575084932,"ENSG00000242583","KMT5AP3","100421819",FALSE,FALSE,FALSE
"ENSG00000242586",-0.008872373673434,-3.0273042361437,0.00113535294460121,0.973120367083601,"ENSG00000242586","HYDINP1","127379712",FALSE,FALSE,FALSE
"ENSG00000242593",-0.184189925232713,-2.27766599923046,0.0709224632809509,0.789998379829862,"ENSG00000242593",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242598",-0.229569449490877,-3.68574169035782,0.0319436304756024,0.858151430649661,"ENSG00000242598",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242599",-1.09701068834822,-2.68325803103822,0.853623260110552,0.355529351756014,"ENSG00000242599",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242607",-0.244452420318013,2.98059998750727,0.675335391780237,0.411197607901511,"ENSG00000242607","RPS3AP34","100271260",FALSE,FALSE,FALSE
"ENSG00000242609",-0.347604658683011,-2.96546712106669,0.394021609699251,0.53019301177944,"ENSG00000242609","CCDC137P1","642802",FALSE,FALSE,FALSE
"ENSG00000242611",-0.531176216185232,-3.57719921315291,0.272970586875331,0.601346002746011,"ENSG00000242611",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242612",-0.141967104665528,3.74260554537961,0.868681761108988,0.351320511540353,"ENSG00000242612","DECR2","26063",FALSE,TRUE,FALSE
"ENSG00000242613",-0.445838933130751,-4.34011849476289,0.162274550079136,0.687070969379205,"ENSG00000242613",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242616",-0.314097750828765,3.95575850195242,6.7278471549625,0.00949190939102571,"ENSG00000242616","GNG10","2790",TRUE,FALSE,FALSE
"ENSG00000242628",-0.0591674129780528,2.18504628184992,0.111090742349177,0.738905742025284,"ENSG00000242628",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242635",-0.68624906241296,-4.1832542838692,0.16864677321766,0.681317273896793,"ENSG00000242635","RPS14P7","100271065",FALSE,FALSE,FALSE
"ENSG00000242640",-0.571392695894631,-3.00204990584216,0.856620754629915,0.354686080417373,"ENSG00000242640",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242641",-0.401272282977455,-3.7263755161655,0.182959691982909,0.668841969682971,"ENSG00000242641","LINC00971","440970",FALSE,FALSE,FALSE
"ENSG00000242650",-2.26142793768859,-4.31091469381014,7.91403922458168,0.00490526239709248,"ENSG00000242650","RN7SL292P","106481002",TRUE,FALSE,TRUE
"ENSG00000242651",-0.11705286389422,-1.6437394257202,0.0498148983007241,0.823385677974776,"ENSG00000242651","RN7SL862P","106479535",FALSE,FALSE,FALSE
"ENSG00000242653",-1.89585924954726,-4.04280086919643,2.42971930418886,0.119054215064286,"ENSG00000242653","RN7SL132P","106479270",FALSE,FALSE,FALSE
"ENSG00000242654",-4.6360147310455,-2.80092182178095,4.45414937862261,0.0348165520398077,"ENSG00000242654","RPL32P14","100270994",TRUE,FALSE,TRUE
"ENSG00000242659",-0.0878471573464978,-2.31770843449661,0.190602583264564,0.662415565264244,"ENSG00000242659",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242660",-0.0933503005476766,-4.06948818149577,0.0241391489480236,0.876531378740198,"ENSG00000242660",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242667",-0.484948424144571,-3.62086897034034,0.733407306078902,0.391780972612792,"ENSG00000242667","RPS10P22","401817",FALSE,FALSE,FALSE
"ENSG00000242670",-0.803421979009921,-4.44947468129259,5.44791735907963,0.0195916688884129,"ENSG00000242670","RPL22P13","442108",TRUE,FALSE,FALSE
"ENSG00000242671",-4.20567790945952,-1.54242371969097,5.62447850272663,0.0177113346387831,"ENSG00000242671","LINC02010","101927866",TRUE,FALSE,TRUE
"ENSG00000242688",-1.12452711913072,-4.3758265981032,0.454753434006866,0.500086225420393,"ENSG00000242688","RN7SL304P","106479333",FALSE,FALSE,FALSE
"ENSG00000242699",-0.954046058157842,-2.53990300838311,1.3572108024496,0.24402145934655,"ENSG00000242699","RN7SL516P","106479411",FALSE,FALSE,FALSE
"ENSG00000242707",-0.358528534924256,-1.50134926748236,2.53021668970651,0.111684878145342,"ENSG00000242707","RN7SL362P","106481022",FALSE,FALSE,FALSE
"ENSG00000242709",-0.420175094065351,-3.70294778402355,0.165601300475579,0.684051030540084,"ENSG00000242709","RPL30P9","100270981",FALSE,FALSE,FALSE
"ENSG00000242729",-0.337970615152359,-4.38734727308741,0.0523100914449168,0.819091216757395,"ENSG00000242729",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242731",-0.338596570640165,-2.74095558473764,0.10119250375665,0.750403249040163,"ENSG00000242731","FAM86LP","641924",FALSE,FALSE,FALSE
"ENSG00000242735",-0.101196248894384,-0.0477658066031691,0.26145941748868,0.609119283755246,"ENSG00000242735",NA,NA,FALSE,FALSE,FALSE
