,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,is_use
ENSG00000000003,1124.4149055326272,-0.3297947370928867,0.15530561398809853,-2.1235210281462185,0.0337102153057108,0.11890652987842573,False
ENSG00000000419,646.4244328046187,0.003710336799680152,0.0876322140561464,0.04233987283834824,0.9662277598417999,0.9835798737630804,False
ENSG00000000457,1603.598114727241,0.1490195226464364,0.12660372493878125,1.1770548040232958,0.23917363276056391,0.4304718494699508,False
ENSG00000000460,1838.227184924038,0.27302920646232126,0.12267003401439085,2.2257204757136635,0.026032910376968265,0.0991945483294669,False
ENSG00000000938,399.92067255597124,-1.1745564882360269,0.3129048840331505,-3.753717337667345,0.00017423132876642842,0.002801038744373449,True
ENSG00000000971,1345.111379525788,-1.0735428213972271,0.2570177842266322,-4.176920381706358,2.9548239349429534e-05,0.0007900562605079119,True
ENSG00000001036,1066.7272192308549,-0.3806677240697219,0.1298621723442336,-2.931321086025441,0.003375237239048469,0.02391226422855051,False
ENSG00000001084,3421.5729863607125,-0.511628252390616,0.22582076867016487,-2.2656386097857246,0.023473519095619788,0.09231425457009869,False
ENSG00000001167,2364.7002394005376,0.18679079335583348,0.13344797310928672,1.3997274668447897,0.16159494543504271,0.3356598555552157,False
ENSG00000001460,627.6944117471385,0.09574548999630027,0.09187120007377156,1.0421708861908596,0.29733245842416867,0.4940802650560509,False
ENSG00000001461,2750.217040498747,-0.07436427105213998,0.1033898654071726,-0.7192607395248724,0.4719802812113444,0.6554814283727366,False
ENSG00000001497,2245.3707792522873,0.21423932345746186,0.088083542746578,2.432228731692163,0.015006227467426966,0.06766488356879483,False
ENSG00000001561,2268.3323829643973,-0.30865174637509596,0.1688190539625382,-1.8282992300358898,0.06750465532871423,0.18798357552221773,False
ENSG00000001617,1194.4261984878833,0.08201338580936582,0.15816694222728225,0.5185241913036067,0.6040925860739566,0.7599341699063328,False
ENSG00000001626,160.4340447233141,-1.557348572884412,0.3271637112911074,-4.760150710904172,1.9344845062439165e-06,0.00010374459164651887,True
ENSG00000001629,4214.513609915811,0.028624112844943705,0.06787563605531233,0.42171410108949425,0.6732337106524173,0.8074495871811841,False
ENSG00000001630,3477.3918831181654,0.15516321374015765,0.15374858067440436,1.0092009504058388,0.31287827093628484,0.5095285225118108,False
ENSG00000001631,2846.49623193478,0.08471240758120971,0.09721975823848232,0.8713497041764721,0.3835632390222793,0.5782725074229677,False
ENSG00000002016,1224.2248993939759,0.20600929606332408,0.07228661371923396,2.849895512652978,0.004373359358008851,0.028720202124428062,False
ENSG00000002079,129.18100644197466,0.3474897459067919,0.19225603477591185,1.8074321896413605,0.0706949187452082,0.1939408334277777,False
ENSG00000002330,875.7369225284912,0.40220077205977484,0.14331270365797577,2.806455825574617,0.005008977984500493,0.03153576083260826,False
ENSG00000002549,1826.3421657108452,-0.4339913194875462,0.15913514845305987,-2.727187071532225,0.006387681351309599,0.037450185313865306,False
ENSG00000002586,3312.154630900351,-0.29206638474388763,0.21360098334209704,-1.3673456937046151,0.17151697563281432,0.3481731296626747,False
ENSG00000002587,954.0569822093669,-0.23876694359960204,0.22199533185557008,-1.075549389276994,0.28212883248066145,0.47828751222823584,False
ENSG00000002726,1079.0460971269551,-1.2802984376710016,0.3872282179173958,-3.3063149285884874,0.0009453177483786325,0.009666158296217238,True
ENSG00000002745,135.77499136063003,0.3015641478109058,0.3579807128171783,0.8424033391008845,0.39956222460919655,0.5925985699866048,False
ENSG00000002746,167.2163447785941,0.024970082553139948,0.2824210486153725,0.08841438226917198,0.9295473306641756,0.9633796523101207,False
ENSG00000002822,1594.3802392838618,0.06417829393905944,0.1386707182797893,0.46281071256564743,0.6435000519158665,0.7874820129498877,False
ENSG00000002834,6635.283290695665,-0.3287531416314725,0.13555850530385982,-2.425175321124699,0.015300995460432993,0.06856723449021003,False
ENSG00000002919,1202.2942038045967,0.0953894313091258,0.12542629515896708,0.7605217963922787,0.44694274563957015,0.6345248141880571,False
ENSG00000002933,2092.277281968317,-0.1312866886869938,0.22549756130510074,-0.5822089069484945,0.5604259745696809,0.7278919997559811,False
ENSG00000003056,2426.999647017758,-0.38095716048728673,0.10805244804189003,-3.5256689449515886,0.00042241465118722114,0.005336885647071702,False
ENSG00000003096,300.0802729481001,0.8164481600188078,0.2870022332746799,2.8447449718532805,0.004444699360869967,0.02904588249619777,False
ENSG00000003137,387.40484602797244,0.14958933947581918,0.263151616104388,0.5684530526176952,0.5697273753249525,0.734091943362471,False
ENSG00000003147,3387.785117364063,0.4841591244590551,0.1753267624362515,2.761467318117475,0.005754227533876968,0.03471597631107361,False
ENSG00000003249,1173.817794917543,0.7684889589064758,0.13449705292484934,5.713797753887377,1.1048229602328015e-08,2.4087469560173227e-06,False
ENSG00000003393,2888.0956354537043,-0.06605974117559583,0.09713455554579983,-0.6800848658276719,0.49645072661939427,0.6758129479819827,False
ENSG00000003400,882.3243582496559,-1.4953786305135912,0.27456352961419395,-5.44638478611795,5.140387273279876e-08,7.669020331965638e-06,True
ENSG00000003402,10497.194043922693,-0.43298661838099434,0.12590598770391775,-3.4389676478231643,0.000583937013528275,0.006801605214053596,False
ENSG00000003436,1531.2902225884075,-1.7392444033408385,0.2981509750547444,-5.833435235358499,5.429768867797818e-09,1.3597692607499392e-06,True
ENSG00000003509,695.7548908814293,0.08641883007742926,0.07878468482313637,1.0968988486966822,0.2726856120959673,0.46789955023049623,False
ENSG00000003756,6914.737511590281,-0.13295925349690052,0.09066628145157515,-1.4664685853242372,0.14252067346103692,0.30931073810977455,False
