,log2foldchange,pval,qval,gene_symbol,is_significant
35697,0.373656269,0.407562709,0.659308124,NA,FALSE
35699,-0.723499924,0.194866855,0.438148809,NA,FALSE
35700,-1.144053528,0.033379056,0.150113338,NA,FALSE
35701,-0.82455047,0.012928478,0.081513608,NA,FALSE
35702,0.03924105,0.908397076,0.961188058,NA,FALSE
35704,-0.435884352,0.456871118,0.696648613,NA,FALSE
35705,0.137713762,0.6563666,0.832834959,NA,FALSE
35706,0.56246122,0.097655321,0.291935574,NA,FALSE
35707,0.680679752,0.191677281,0.433891549,PRSS43P,FALSE
35708,0.021806337,0.941691148,0.975599252,NA,FALSE
35709,-0.215678512,0.654744163,0.831922281,NA,FALSE
35710,0.000147449,0.999607486,0.999634837,NA,FALSE
35711,0.728097512,0.120441695,0.331116315,NA,FALSE
35712,0.729521114,0.057734107,0.211991855,NA,FALSE
35713,0.030675312,0.872273298,0.945089875,NA,FALSE
35714,-0.547501084,0.202748437,0.44861682,NA,FALSE
35715,0.185862834,0.721019915,0.869873076,NA,FALSE
35716,0.045579224,0.930227554,0.97115489,NA,FALSE
35717,-0.941050763,0.043286737,0.176809002,NA,FALSE
35718,-0.259688569,0.493742373,0.725252215,NA,FALSE
35719,0.158059433,0.509232979,0.736751674,NA,FALSE
35720,0.287290322,0.459900162,0.69894345,NA,FALSE
35721,-0.084805871,0.556145252,0.768199274,NA,FALSE
35722,0.15597642,0.718078434,0.868408732,NA,FALSE
35723,0.868124094,0.180571394,0.419188509,LOC107985953,FALSE
35724,-0.430746304,0.017702918,0.100401848,NA,FALSE
35725,-0.430862888,0.102177135,0.299933507,NA,FALSE
35726,0.246982027,0.371905615,0.627783961,NA,FALSE
35727,-0.224304345,0.14659211,0.37217248,NA,FALSE
35728,-0.052163161,0.876448983,0.946872408,NA,FALSE
35729,-1.308939818,0.031344354,0.144503459,NA,FALSE
35730,-0.36278605,0.444771001,0.687354559,LOC107986631,FALSE
35731,-0.092039919,0.881046916,0.948909881,NA,FALSE
35733,-0.871766454,0.081008213,0.260656082,NA,FALSE
35735,-0.062441203,0.658885512,0.83422616,NA,FALSE
35736,-0.429470835,0.322678122,0.582168164,NA,FALSE
35737,0.13769847,0.730432129,0.874207999,NA,FALSE
35738,0.677201192,0.034364884,0.152816906,NA,FALSE
35739,-0.232542637,0.53014751,0.751021758,NA,FALSE
35740,0.719226196,0.143717722,0.367663993,LOC116435278,FALSE
35742,-1.144116695,0.028162263,0.134992999,NA,FALSE
35743,-0.708654029,0.021888244,0.115239616,NA,FALSE
35744,-0.742517217,0.011365989,0.075038933,NA,FALSE
35745,0.130462399,0.528875621,0.750354221,NA,FALSE
35746,0.013080822,0.953418684,0.980577395,NA,FALSE
35747,0.154823346,0.498572303,0.728776159,LOC101928415,FALSE
35748,-0.177590499,0.711032501,0.865117467,NA,FALSE
35749,-0.39574835,0.024904449,0.125272876,NA,FALSE
35750,0.287404655,0.432717868,0.678161543,NA,FALSE
35751,-0.442059526,0.25044199,0.505852682,NA,FALSE
35752,0.396596621,0.352034645,0.61004964,LINC02348,FALSE
35753,0.073408403,0.781075165,0.90088518,NA,FALSE
35754,0.075509746,0.864619423,0.941327209,NA,FALSE
35755,0.418552698,0.385441399,0.639172968,NA,FALSE
35756,-0.968771958,0.025839893,0.128022535,NA,FALSE
35757,-0.366160492,0.314392586,0.573619557,NA,FALSE
35758,0.7743995,0.017659937,0.100333272,NA,FALSE
35759,-0.165386292,0.715295066,0.867371572,NA,FALSE
35760,0.366184307,0.373651677,0.629539259,NA,FALSE
35761,-0.647411513,0.126966993,0.342195755,NA,FALSE
35762,0.154258383,0.792795504,0.907538301,NA,FALSE
35764,-0.21572145,0.269950591,0.527075016,NA,FALSE
35765,0.087787765,0.727841466,0.873141381,NA,FALSE
35766,-0.733884331,0.054020171,0.20394414,NA,FALSE
35767,-0.175710102,0.568514447,0.77656817,LOC100289495,FALSE
35769,0.197290814,0.431625706,0.677233962,NA,FALSE
35770,0.156254854,0.71825688,0.868451759,NA,FALSE
35771,0.392732038,0.334299223,0.593121471,NA,FALSE
35772,-0.26184124,0.541462153,0.758502107,NA,FALSE
35773,0.104673178,0.649551271,0.828897364,NA,FALSE
35774,0.771695209,0.083685775,0.265229915,LINC01622,FALSE
35775,0.182533738,0.321913395,0.581276255,NA,FALSE
35776,0.234904697,0.447031035,0.688976609,LOC105372493,FALSE
35777,-0.474491176,0.409986358,0.661221048,NA,FALSE
35778,0.4224314,0.18790688,0.429086646,NA,FALSE
35779,0.151249324,0.817815741,0.919646407,NA,FALSE
35780,0.39421256,0.370687803,0.626422625,NA,FALSE
35782,0.894103062,0.239389387,0.493727993,NA,FALSE
35783,-0.042564416,0.885468221,0.950647438,NA,FALSE
35784,-1.063367677,0.02195577,0.115362485,NA,FALSE
35785,1.130424748,0.036275845,0.158008089,NA,FALSE
35786,-0.019382373,0.911668097,0.962799274,NA,FALSE
35787,-0.628964706,0.056660314,0.209985583,NA,FALSE
35788,0.182978504,0.690123802,0.852636593,NA,FALSE
35789,-0.29888745,0.525539956,0.748018866,NA,FALSE
35790,0.433467912,0.079718319,0.258506329,NA,FALSE
35792,-0.37400212,0.363528514,0.620405475,NA,FALSE
35793,0.919957289,0.079904054,0.258741319,NA,FALSE
35794,0.318351581,0.569259307,0.777132226,NA,FALSE
35795,-0.116255924,0.483621013,0.717776745,NA,FALSE
35796,-0.218584604,0.319949238,0.579177972,NA,FALSE
35797,1.910298742,0.011792362,0.076612165,NA,FALSE
35798,-0.061562793,0.748698968,0.883896709,NA,FALSE
35799,1.283295816,0.011078147,0.073792603,NA,FALSE
35800,-1.002167026,0.014104811,0.086307843,NA,FALSE
35801,0.383543309,0.206641927,0.453653352,NA,FALSE
35802,-0.818312582,0.052548351,0.200311813,NA,FALSE
35803,0.447377443,0.458381309,0.697993381,NA,FALSE
35804,0.139406427,0.758026853,0.888932177,NA,FALSE
35805,0.028552149,0.943872928,0.976436483,NA,FALSE
35806,-0.18378516,0.2891502,0.547010802,NA,FALSE
35808,-0.852350267,0.032415286,0.1475848,NA,FALSE
