"","ENTREZID","SYMBOL"
"249","100506736","SLFN12L"
"250","3426","CFI"
"251","28947","IGKJ4"
"252","28950","IGKJ1"
"253","28822","IGLV1-47"
"254","28823","IGLV1-44"
"255","28825","IGLV1-40"
"256","28793","IGLV3-25"
"257","28813","IGLV2-23"
"258","28796","IGLV3-21"
"259","28797","IGLV3-19"
"260","28815","IGLV2-14"
"261","28816","IGLV2-11"
"262","3537","IGLC1"
"263","28639","TRBC1"
"264","28475","IGHJ6"
"265","28474","IGHV1-2"
"266","28473","IGHV1-3"
"267","28452","IGHV3-7"
"268","28450","IGHV3-11"
"269","28448","IGHV3-15"
"270","28468","IGHV1-18"
"271","28444","IGHV3-21"
"272","28442","IGHV3-23"
"273","28434","IGHV3-33"
"274","28395","IGHV4-34"
"275","28394","IGHV4-39"
"276","28424","IGHV3-48"
"277","28388","IGHV5-51"
"278","170575","GIMAP1"
"279","285830","HLA-F-AS1"
"280","399715","LINC02649"
"281","100419610","TYMSP1"
"282","28392","IGHV4-59"
"283","100506115","PELATON"
"284","105373984","LINC01918"
"285","285643","KIF4B"
"286","9834","FAM30A"
"287","124902108","LOC124902108"
"288","101929305","LOC101929305"
"289","100128325","LINC03008"
"290","102060414","C2-AS1"
"291","729582","DIRC3"
"292","162083","C16orf82"
"293","101928461","MAP3K5-AS1"
"294","114614","MIR155HG"
"295","100996342","LINC01664"
"296","100507582","BHLHE40-AS1"
"297","100874390","RAC1P7"
"298","100130476","WAKMAR2"
"299","3117","HLA-DQA1"
"300","3118","HLA-DQA2"
"301","442197","OR2I1P"
"302","102723741","LINC02863"
"303","106480926","RN7SL12P"
"304","54106","TLR9"
"305","100506765","IGSF11-AS1"
"306","28477","IGHJ4"
"307","101929335","ADAMTS9-AS1"
"308","28914","IGKV3-11"
"309","100507098","ADAMTS9-AS2"
"310","28933","IGKV1-33"
"311","28930","IGKV1-39"
"312","28476","IGHJ5"
"313","28883","IGKV2D-28"
"314","28919","IGKV2-30"
"315","28299","IGKV1-5"
"316","105375355","UPK3B"
"317","100271247","RPS2P42"
"318","28921","IGKV2-28"
"319","28913","IGKV3-15"
"320","79168","LILRA6"
"321","106480498","RN7SL280P"
"322","144571","A2M-AS1"
"323","100130231","LINC00861"
"324","101928100","KLRK1-AS1"
"325","100233209","PCED1B-AS1"
"326","101927543","LOC101927543"
"327","102577424","LINC01574"
"328","106481732","CAB39P1"
"329","100421429","RTEL1P1"
"330","28893","IGKV1D-39"
"331","100287592","LINC02106"
"332","127138868","SLC39A13-AS1"
"333","105369525","NECTIN1-AS1"
"334","84983","FAM222A-AS1"
"335","100506691","LINC02985"
"336","23601","CLEC5A"
"337","6038","RNASE4"
"338","100129781","MIR193BHG"
"339","100616116","MIR4648"
"340","100616348","MIR4659A"
"341","100422944","MIR3186"
"342","100505495","PCAT19"
"343","728485","LOC728485"
"344","11254","SLC6A14"
"345","28439","IGHV3-30"
"346","100420254","LOC100420254"
"347","340307","CTAGE6"
"348","118827814","C1orf21-DT"
"349","6352","CCL5"
"350","100499471","LOC100499471"
"351","100132441","GXYLT1P4"
"352","6351","CCL4"
"353","6362","CCL18"
"354","400658","ZNF516-DT"
"355","146850","PIK3R6"
"356","338382","RAB7B"
"357","6348","CCL3"
"358","28755","TRAC"
"359","102724488","SYT15B"
"360","102723169","IGHV1-69D"
"361","101928173","LINC01943"
"362","100506776","TRG-AS1"
"363","105221694","BISPR"
"364","102724536","PRR33"
"365","124902114","LOC124902114"
"366","124902301","LOC124902301"
"367","100302522","PTCSC1"
